"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus coolabah","DN 2957","Wilcannia, NSW",185,2000,31,"R185/T31","CCA3714"
"Eucalyptus sp. Great Victoria Desert","DN 2730","Balpe Lakes, WA",185,2000,32,"R185/T32","CCA3715"
"Eucalyptus sp. Great Victoria Desert","DN 2730","Balpe Lakes, WA",185,2000,33,"R185/T33","CCA3716"
"Eucalyptus sp. Great Victoria Desert","DN 2730","Balpe Lakes, WA",185,2000,34,"R185/T34","CCA3717"
"Eucalyptus sp. Great Victoria Desert","DN 2730","Balpe Lakes, WA",185,2000,35,"R185/T35","CCA3718"
"Eucalyptus petraea","DN 2761","Diemals Station, WA",185,2000,37,"R185/T37","CCA3719"
"Eucalyptus petraea","DN 2761","Diemals Station, WA",185,2000,38,"R185/T38","CCA3720"
"Eucalyptus petraea","DN 2761","Diemals Station, WA",185,2000,39,"R185/T39","CCA3721"
"Eucalyptus capillosa","DN 2192","Lake Barlee, WA",186,2000,2,"R186/T02","CCA3722"
"Eucalyptus capillosa","DN 2192","Lake Barlee, WA",186,2000,3,"R186/T03","CCA3723"
"Eucalyptus calcareana","DN 2587","Kimba, SA",186,2000,5,"R186/T05","CCA3724"
"Eucalyptus calcareana","DN 2587","Kimba, SA",186,2000,6,"R186/T06","CCA3725"
"Eucalyptus calcareana","DN 2587","Kimba, SA",186,2000,7,"R186/T07","CCA3726"
"Eucalyptus calcareana","DN 2587","Kimba, SA",186,2000,8,"R186/T08","CCA3727"
"Eucalyptus beardiana","DN 2208","Nerren Nerren, WA",186,2000,10,"R186/T10","CCA3728"
"Eucalyptus populnea subsp. bimbil","DN 2954","Nyngan, NSW",186,2000,11,"R186/T11","CCA3729"
"Eucalyptus populnea subsp. bimbil","DN 2954","Nyngan, NSW",186,2000,12,"R186/T12","CCA3730"
"Eucalyptus populnea subsp. bimbil","DN 2954","Nyngan, NSW",186,2000,13,"R186/T13","CCA3731"
"Eucalyptus populnea subsp. bimbil","DN 2954","Nyngan, NSW",186,2000,14,"R186/T14","CCA3732"
"Eucalyptus sp. Cable Haul Road","DN 2787","Zanthus, WA",186,2000,22,"R186/T22","CCA3733"
"Eucalyptus sp. Cable Haul Road","DN 2787","Zanthus, WA",186,2000,23,"R186/T23","CCA3734"
"Eucalyptus sp. Cable Haul Road","DN 2787","Zanthus, WA",186,2000,24,"R186/T24","CCA3735"
"Eucalyptus sp. Cable Haul Road","DN 2787","Zanthus, WA",186,2000,25,"R186/T25","CCA3736"
"Eucalyptus orbifolia","DN 2774","Diemals Station, WA",186,2000,26,"R186/T26","CCA3737"
"Eucalyptus orbifolia","DN 2774","Diemals Station, WA",186,2000,27,"R186/T27","CCA3738"
"Eucalyptus orbifolia","DN 2774","Diemals Station, WA",186,2000,28,"R186/T28","CCA3739"
"Eucalyptus orbifolia","DN 2774","Diemals Station, WA",186,2000,29,"R186/T29","CCA3740"
"Eucalyptus moderata","DN 2182","Menzies, WA",186,2000,30,"R186/T30","CCA3741"
"Eucalyptus moderata","DN 2182","Menzies, WA",186,2000,31,"R186/T31","CCA3742"
"Eucalyptus yalatensis","DN 2129","Nullarbor, SA",186,2000,35,"R186/T35","CCA3743"
"Eucalyptus yalatensis","DN 2129","Nullarbor, SA",186,2000,36,"R186/T36","CCA3744"
"Eucalyptus yalatensis","DN 2129","Nullarbor, SA",186,2000,37,"R186/T37","CCA3745"
"Eucalyptus brockwayi","DN 2166","Norseman, WA",187,2000,1,"R187/T01","CCA3746"
"Eucalyptus brockwayi","DN 2166","Norseman, WA",187,2000,2,"R187/T02","CCA3747"
"Eucalyptus brockwayi","DN 2166","Norseman, WA",187,2000,3,"R187/T03","CCA3748"
"Eucalyptus brockwayi","DN 2166","Norseman, WA",187,2000,4,"R187/T04","CCA3749"
"Eucalyptus leucoxylon subsp. pruinosa","DN 2897","Barham, NSW",187,2000,4,"R187/T04","CCA3750"
"Eucalyptus leucoxylon subsp. pruinosa","DN 2897","Barham, NSW",187,2000,5,"R187/T05","CCA3751"
"Eucalyptus leucoxylon subsp. pruinosa","DN 2897","Barham, NSW",187,2000,6,"R187/T06","CCA3752"
"Eucalyptus leucoxylon subsp. pruinosa","DN 2897","Barham, NSW",187,2000,7,"R187/T07","CCA3753"
"Eucalyptus microcarpa","DN 2895","Boundary Bend, Vic",187,2000,8,"R187/T08","CCA3754"
"Eucalyptus microcarpa","DN 2895","Boundary Bend, Vic",187,2000,9,"R187/T09","CCA3755"
